IRI_KEY,FIPS,NAME,State_Name,REGION,DIVISION,Zip_name,Zip_key,per_kids18,per_kids9,per_old,per_white,per_black,hhsize,Per_college,per_hh_less20K,median_inc,capita_inc,Share_Camp,Share_Other,Share_PL,Share_prog
238729,1121,Talladega County,Alabama,SOUTH,6,35150 Sylacauga,35150,0.25,0.13,0.16,0.7,0.28,2.42,0.13,0.37,28767,15564,0.760536917,0.022618796,0.165016243,0.051828044
238732,17115,Macon County,Illinois,MIDWEST,3,62522 Decatur,62522,0.23,0.12,0.12,0.74,0.23,2.38,0.19,0.3,33378,18250,0.573828487,0.050058321,0.303957178,0.072156014
238751,53033,King County,Washington,WEST,9,98072 Woodinville,98072,0.31,0.15,0.06,0.9,0.01,2.94,0.42,0.05,82922,37695,0.459195127,0.072866107,0.146596134,0.321342632
238854,17143,Peoria County,Illinois,MIDWEST,3,61607 Peoria,61607,0.23,0.12,0.15,0.98,0.01,2.49,0.11,0.14,46708,22271,0.648441408,0.044062361,0.249235853,0.058260377
238896,48201,Harris County,Texas,SOUTH,7,77057 Houston,77057,0.13,0.09,0.09,0.75,0.05,1.76,0.51,0.17,46563,41404,0.520573939,0.149661809,0.063174122,0.26659013
238945,9013,Tolland County,Connecticut,EAST,1,06250 Mansfield Center,6250,0.25,0.12,0.15,0.94,0.01,2.52,0.42,0.11,56348,26530,0.330716257,0.106127202,0.17579144,0.387365101
239009,6071,San Bernardino County,California,WEST,9,92376 Rialto,92376,0.38,0.21,0.07,0.38,0.22,3.7,0.07,0.24,37568,12079,0.587176331,0.036172198,0.23009526,0.146556211
239012,24033,Prince George's County,Maryland,SOUTH,5,20707 Laurel,20707,0.23,0.14,0.08,0.57,0.31,2.36,0.33,0.1,53006,27063,0.508066874,0.060751922,0.153895843,0.277285361
239034,6059,Orange County,California,WEST,9,92867 Orange,92867,0.28,0.17,0.09,0.73,0.01,3.2,0.25,0.11,63039,25921,0.508358774,0.187991222,0.09857322,0.205076784
239081,6037,Los Angeles County,California,WEST,9,90278 Redondo Beach,90278,0.21,0.13,0.08,0.75,0.03,2.41,0.4,0.11,69614,34511,0.523016494,0.190120144,0.084355781,0.202507581
239121,39095,Lucas County,Ohio,MIDWEST,3,43528 Holland,43528,0.26,0.14,0.12,0.88,0.07,2.6,0.24,0.15,53145,29173,0.564086327,0.066404937,0.258552411,0.110956325
239248,45015,Berkeley County,South Carolina,SOUTH,5,29445 Goose Creek,29445,0.29,0.17,0.05,0.72,0.19,2.86,0.19,0.17,43629,17054,0.654168872,0.040392374,0.153421957,0.152016797
239250,36053,Madison County,New York,EAST,2,13421 Oneida,13421,0.25,0.13,0.15,0.97,0.01,2.42,0.19,0.26,35859,19798,0.559341735,0.071481099,0.107181088,0.261996078
239299,6065,Riverside County,California,WEST,9,92240 Desert Hot Spring,92240,0.32,0.18,0.14,0.7,0.05,2.78,0.1,0.37,27335,12517,0.525624479,0.129452672,0.137899755,0.207023094
239359,48113,Dallas County,Texas,SOUTH,7,75061 Irving,75061,0.28,0.17,0.08,0.63,0.09,2.82,0.16,0.19,37330,16589,0.705914941,0.029640229,0.180757093,0.083687737
239502,53033,King County,Washington,WEST,9,98168 Seattle,98168,0.26,0.15,0.1,0.63,0.08,2.66,0.14,0.19,41097,19048,0.641239347,0.125783967,0.11828113,0.114695556
239571,48201,Harris County,Texas,SOUTH,7,77079 Houston,77079,0.27,0.13,0.13,0.83,0.03,2.58,0.52,0.1,70587,37453,0.545259722,0.083106415,0.198724726,0.172909137
239590,6059,Orange County,California,WEST,9,92868 Orange,92868,0.26,0.15,0.1,0.61,0.03,2.97,0.18,0.19,45267,17408,0.488735456,0.181914697,0.11642295,0.212926897
239593,18097,Marion County,Indiana,MIDWEST,3,46260 Indianapolis,46260,0.23,0.13,0.14,0.65,0.27,2.28,0.44,0.15,47295,30964,0.660024701,0.128567447,0.100795493,0.110612359
239622,6073,San Diego County,California,WEST,9,92064 Poway,92064,0.31,0.15,0.09,0.83,0.02,3.07,0.34,0.08,71385,29499,0.556102383,0.131631847,0.069918182,0.242347589
239675,17031,Cook County,Illinois,MIDWEST,3,60133 Hanover Park,60133,0.25,0.14,0.12,0.78,0.11,2.57,0.27,0.18,50162.58,24568.83,0.570711306,0.073500858,0.134627705,0.221160132
239682,6037,Los Angeles County,California,WEST,9,90732 San Pedro,90732,0.2,0.12,0.18,0.78,0.04,2.39,0.33,0.14,63614,30842,0.45742651,0.161083905,0.109434116,0.272055469
239734,31055,Douglas County,Nebraska,MIDWEST,4,68144 Omaha,68144,0.25,0.13,0.12,0.95,0.01,2.5,0.37,0.11,56331,27316,0.68183477,0.061814606,0.085755574,0.17059505
239777,22033,East Baton Rouge Parish,Louisiana,SOUTH,7,70739 Greenwell Springs,70739,0.28,0.14,0.08,0.94,0.04,2.86,0.17,0.12,52925,20471,0.796013704,0.035190075,0.128014663,0.040781558
239796,41039,Lane County,Oregon,WEST,9,97401 Eugene,97401,0.15,0.08,0.13,0.87,0.01,2.02,0.34,0.36,29280,20592,0.33808161,0.164331813,0.178483134,0.319103444
239874,13057,Cherokee County,Georgia,SOUTH,5,30114 Canton,30114,0.26,0.15,0.1,0.89,0.04,2.8,0.19,0.18,50523,21932,0.700540811,0.045732102,0.145261681,0.108465407
239919,41053,Polk County,Oregon,WEST,9,97304 Salem,97304,0.24,0.12,0.18,0.92,0,2.5,0.3,0.16,49241,23790,0.462904869,0.086872084,0.22872989,0.221493157
239923,13121,Fulton County,Georgia,SOUTH,5,30316 Atlanta,30316,0.27,0.15,0.07,0.17,0.8,2.75,0.16,0.3,32465,15422,0.593243125,0.051802284,0.260507948,0.094446643
